Comparison number,Winner ID,Loser ID,Is musician,
508,40,33,0,0,
509,115,34,0,0,
510,7,23,1,0,
511,21,33,1,0,
512,119,35,0,0,
513,76,40,0,0,
514,65,43,0,0,
515,41,49,0,0,
516,24,51,1,0,
517,48,52,1,0,
518,112,48,0,0,
519,50,47,0,0,
520,103,97,1,0,
521,103,57,1,0,
522,45,83,0,0,
523,102,14,1,0,
524,115,56,0,0,
525,68,60,1,0,
526,101,62,1,0,
527,11,63,1,0,
528,61,86,0,0,
529,103,64,1,0,
530,10,47,1,0,
531,106,49,1,0,
532,69,112,1,0,
533,43,70,0,0,
534,3,72,0,0,
535,74,107,0,0,
536,68,63,1,0,
537,96,77,0,0,
538,109,75,0,0,
539,79,69,0,0,
540,82,100,0,0,
541,4,86,0,0,
542,119,99,0,0,
543,89,84,0,0,
544,116,91,0,0,
545,90,86,0,0,
546,108,120,0,0,
547,68,94,0,0,
548,95,4,0,0,
549,117,96,0,0,
550,116,99,0,0,
551,100,90,0,0,
552,107,117,0,0,
553,39,4,1,0,
554,52,3,1,0,
555,21,4,1,0,
556,90,5,1,0,
557,19,7,1,0,
558,89,10,1,0,
559,111,78,1,0,
560,34,118,1,0,
561,109,4,1,0,
562,110,86,1,0,
563,17,80,0,0,
564,21,55,0,0,
565,34,22,0,0,
566,18,118,1,0,
567,23,18,0,0,
568,73,116,0,0,
569,26,113,0,0,
570,102,19,1,0,
571,76,29,1,0,
572,65,28,0,0,
573,56,115,0,0,
574,33,24,0,0,
575,24,6,1,0,
576,34,29,0,0,
577,108,74,0,0,
578,35,30,1,0,
579,78,37,0,0,
580,39,116,0,0,
581,41,40,0,0,
582,41,10,0,0,
583,38,6,1,0,
584,42,7,0,0,
585,43,115,1,0,
586,91,101,0,0,
587,79,45,1,0,
588,55,46,0,0,
589,48,46,0,0,
590,49,73,0,0,
591,50,23,0,0,
592,51,68,0,0,
593,56,52,0,0,
594,103,60,1,0,
595,55,27,1,0,
596,55,56,0,0,
597,30,102,1,0,
598,60,59,1,0,
599,70,59,0,0,
600,62,27,1,0,
601,63,101,0,0,
602,6,57,0,0,
603,64,34,1,0,
604,68,49,1,0,
605,42,69,1,0,
606,70,22,1,0,
607,60,61,0,0,
608,41,47,1,0,
609,79,75,1,0,
610,74,69,0,0,
611,76,104,1,0,
612,63,77,0,0,
613,79,105,0,0,
614,111,80,0,0,
615,79,78,1,0,
616,33,82,1,0,
617,69,81,0,0,
618,102,83,1,0,
619,84,63,0,0,
620,49,104,1,0,
621,86,110,0,0,
622,37,88,0,0,
623,90,117,0,0,
624,23,89,0,0,
625,120,86,0,0,
626,63,92,0,0,
627,119,60,1,0,
628,98,59,0,0,
629,37,99,0,0,
630,117,4,1,0,
631,113,57,1,0,
632,95,4,1,0,
633,5,6,0,0,
634,65,6,1,0,
635,62,11,1,0,
636,118,29,1,0,
637,31,55,1,0,
638,118,112,1,0,
639,114,14,1,0,
640,106,19,1,0,
641,109,88,0,0,
642,59,20,0,0,
643,119,21,1,0,
